FileName,PSL-Time taken(2loops+unfoldedTraces),PSL-Size(2loops+unfoldedTraces),PSL-Formula Generated(2loops+unfoldedTraces),LTL-Time taken,LTL-Size,LTL-Formula Generated,Frequency of Size DataPoint
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:13;vars:2.trace,21.33351230621338,4,(G (x0 & x1)),17.351001143455505,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:13;vars:3.trace,23.538935899734497,4,(G (x1 & x0)),20.042657722719014,4,(x0 & (G x1)),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:5;vars:3.trace,24.104398250579834,4,((x0 . x0) |-> x1),20.015858490020037,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/smallTests/28.trace,27.04023003578186,5,((* (x0 . x0)) |-> x1),9.396945911459625,6,(((X x1) U (X (X x1))) U (! (X x1))),17
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:7;vars:4.trace,28.987281322479248,5,(x0 -> ((X x1) -> x1)),11.088913472369313,5,((X x1) -> (x0 -> x1)),51
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/25traces;len:7;vars:2.trace,29.974709033966064,5,((x1 | x0) U (G x0)),13.264922553673387,5,((x0 U x1) U (G x0)),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/50traces;len:5;vars:1.trace,31.06601858139038,5,((x0 & (X x0)) -> (X (X x0))),16.195034112781286,5,((x0 & (X x0)) -> (X (x0 & (X x0)))),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:7;vars:2.trace,31.510302782058716,5,(X ((x0 U (X x0)) -> (X x0))),12.802159721963108,5,((x0 & (X x0)) -> (X (x0 & (X x0)))),51
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:9;vars:3.trace,31.82223629951477,4,(G (x0 & x1)),26.239821544848382,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:15;vars:2.trace,32.60823106765747,4,(x0 & (G x1)),24.37272912543267,4,(x1 & (G x0)),32
allTests/generatedTracesFromPSL/smallTests/12.trace,32.71757769584656,5,(x1 -> (X (x0 -> x1))),18.622067721560597,5,(x1 -> (X (x0 -> x1))),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:9;vars:1.trace,32.8909056186676,5,((x0 U (X x0)) -> (X (x0 U (X x0)))),13.137251142412424,5,(X (x0 -> (x0 U (X x0)))),51
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/50traces;len:5;vars:4.trace,34.680593490600586,5,(x1 -> (x1 U (! x2))),18.191624733619392,5,(x1 -> (x1 U (! x2))),51
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:9;vars:4.trace,36.0578556060791,4,((x0 . x0) |-> x2),17.508400712162256,5,(x0 -> (x2 | (X x2))),15
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:7;vars:1.trace,36.82886624336243,5,((x0 & (X x0)) -> (X (X x0))),14.854069300927222,5,((x0 & (X x0)) -> (X (X x0))),51
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:11;vars:3.trace,39.45829463005066,4,(x0 & (G x1)),39.68348616268486,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:11;vars:2.trace,41.023025035858154,4,(G (x0 & x1)),33.92601116374135,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:9;vars:3.trace,41.643885374069214,5,(x1 -> ((X x1) -> x2)),16.324320285581052,5,((x1 & (X x1)) -> x2),51
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:3;vars:2.trace,42.9320912361145,5,((X (X (X x0))) & (X x0)),22.073483963496983,5,(X (x0 & (X (X x0)))),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:7;vars:3.trace,42.97519254684448,4,((x0 . x0) |-> x1),25.94640957377851,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:11;vars:4.trace,44.752010107040405,4,((x1 . x1) |-> x3),19.025885682553053,5,((x1 U (G x3)) -> (G x3)),15
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:7;vars:5.trace,48.76741147041321,5,((x0 . x0) |-> (! x1)),30.670720770955086,6,(X (x1 -> (x0 -> x3))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:11;vars:2.trace,48.82979655265808,5,((F x1) -> (X (X (F x1)))),19.4249528888613,5,((x0 U (X (X x0))) -> (X (X x0))),51
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:7;vars:2.trace,50.32784914970398,5,(x0 U (G (x0 & x1))),21.999508961103857,5,(x0 & (x0 U (G x1))),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:5;vars:2.trace,51.31126403808594,4,((x0 . x0) |-> x1),39.72765603847802,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/50traces;len:7;vars:1.trace,51.500328063964844,5,(((X x0) & x0) -> (X (X x0))),21.570445988327265,5,((X x0) -> (x0 -> (G (X x0)))),51
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:13;vars:2.trace,52.62892246246338,4,((x0 . x0) |-> x1),30.88172688893974,5,((x0 U (X x1)) -> (X x1)),15
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:13;vars:3.trace,53.85698485374451,4,(G (x1 & x0)),48.33168441429734,4,(G (x0 & x1)),32
