FileName,PSL-Time taken(2loops),PSL-Size(2loops),PSL-Formula Generated(2loops),LTL-Time taken,LTL-Size,LTL-Formula Generated
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:5;vars:2.trace,78.7106516361237,5,((* (true . true)) |-> x0),1180.19816483418,7,((X x0) & (G ((X (X (X x0))) U x0)))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:5;vars:3.trace,82.7885982990265,5,((* (x0 . x0)) |-> x1),10000,,
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/50traces;len:3;vars:3.trace,86.5494842529297,6,(X (x0 -> (X (X x1)))),51.1072798073292,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/smallTests/22.trace,90.5799107551575,5,((* (true . true)) |-> x0),189.021239874884,7,((X x0) & (G (x0 U (X (X (X x0))))))
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:3;vars:2.trace,92.7530167102814,5,((* (x0 . x0)) |-> x1),10000,,
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/50traces;len:5;vars:2.trace,95.1887199878693,6,(X (x0 -> (X (X x1)))),38.046933921054,6,(X (x0 -> (X (X x1))))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:3;vars:1.trace,106.248028278351,5,((* (true . true)) |-> x0),170.870834590402,7,((X x0) & (G (x0 | (X (X (X x0))))))
allTests/generatedTracesFromPSL/smallTests/07.trace,106.540509700775,5,((* (x0 . x0)) |-> x1),230.585877027828,7,((X (x0 -> x1)) U (x0 -> (G x1)))
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/100traces;len:7;vars:2.trace,111.892862081528,5,(x0 -> (X (x1 -> x0))),67.2399969492108,5,(x0 -> (X (x1 -> x0)))
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> (x0 | (X x1)))/50traces;len:11;vars:2.trace,118.218267440796,5,((X x1) -> (F (x1 & (X x1)))),55.3467697803862,5,(X ((x1 U (X x1)) -> (X x1)))
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/50traces;len:7;vars:1.trace,132.002494573593,5,((* (true . true)) |-> x0),10000,,
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> (x0 | ((X x1) | (X (X x2)))))/50traces;len:5;vars:3.trace,137.924559116364,6,((x1 U (X x0)) -> (x0 -> (X x0))),58.8548638671637,6,(x0 -> (x0 U (x1 -> (G x1))))
allTests/generatedTracesFromPSL/((true . (x0 . (true . true))) |-> x1)/100traces;len:3;vars:2.trace,144.694284200668,6,(X (x0 -> (X (X x1)))),85.3560879179276,6,(X (x0 -> (X (X x1))))
