FileName,PSL-Time taken(2loops+unfoldedTraces),PSL-Size(2loops+unfoldedTraces),PSL-Formula Generated(2loops+unfoldedTraces),LTL-Time taken,LTL-Size,LTL-Formula Generated,Frequency of Size DataPoint
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/50traces;len:5;vars:1.trace,31.06601858,5,((x0 & (X x0)) -> (X (X x0))),16.19503411,5,((x0 & (X x0)) -> (X (x0 & (X x0)))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:7;vars:2.trace,31.51030278,5,(X ((x0 U (X x0)) -> (X x0))),12.80215972,5,((x0 & (X x0)) -> (X (x0 & (X x0)))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:9;vars:3.trace,31.8222363,4,(G (x0 & x1)),26.23982154,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:15;vars:2.trace,32.60823107,4,(x0 & (G x1)),24.37272913,4,(x1 & (G x0)),32
allTests/generatedTracesFromPSL/smallTests/12.trace,32.7175777,5,(x1 -> (X (x0 -> x1))),18.62206772,5,(x1 -> (X (x0 -> x1))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:9;vars:1.trace,32.89090562,5,((x0 U (X x0)) -> (X (x0 U (X x0)))),13.13725114,5,(X (x0 -> (x0 U (X x0)))),50
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/50traces;len:5;vars:4.trace,34.68059349,5,(x1 -> (x1 U (! x2))),18.19162473,5,(x1 -> (x1 U (! x2))),50
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:9;vars:4.trace,36.05785561,4,((x0 . x0) |-> x2),17.50840071,5,(x0 -> (x2 | (X x2))),15
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:7;vars:1.trace,36.82886624,5,((x0 & (X x0)) -> (X (X x0))),14.8540693,5,((x0 & (X x0)) -> (X (X x0))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:11;vars:3.trace,39.45829463,4,(x0 & (G x1)),39.68348616,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:11;vars:2.trace,41.02302504,4,(G (x0 & x1)),33.92601116,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:9;vars:3.trace,41.64388537,5,(x1 -> ((X x1) -> x2)),16.32432029,5,((x1 & (X x1)) -> x2),50
allTests/generatedTracesFromPSL/(((true . true) *) |-> x0)/100traces;len:3;vars:2.trace,42.93209124,5,((X (X (X x0))) & (X x0)),22.07348396,5,(X (x0 & (X (X x0)))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:7;vars:3.trace,42.97519255,4,((x0 . x0) |-> x1),25.94640957,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:11;vars:4.trace,44.75201011,4,((x1 . x1) |-> x3),19.02588568,5,((x1 U (G x3)) -> (G x3)),15
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/25traces;len:7;vars:5.trace,48.76741147,5,((x0 . x0) |-> (! x1)),30.67072077,6,(X (x1 -> (x0 -> x3))),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:11;vars:2.trace,48.82979655,5,((F x1) -> (X (X (F x1)))),19.42495289,5,((x0 U (X (X x0))) -> (X (X x0))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/50traces;len:7;vars:2.trace,50.32784915,5,(x0 U (G (x0 & x1))),21.99950896,5,(x0 & (x0 U (G x1))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:5;vars:2.trace,51.31126404,4,((x0 . x0) |-> x1),39.72765604,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/50traces;len:7;vars:1.trace,51.50032806,5,(((X x0) & x0) -> (X (X x0))),21.57044599,5,((X x0) -> (x0 -> (G (X x0)))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:13;vars:2.trace,52.62892246,4,((x0 . x0) |-> x1),30.88172689,5,((x0 U (X x1)) -> (X x1)),15
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:13;vars:3.trace,53.85698485,4,(G (x1 & x0)),48.33168441,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:7;vars:3.trace,56.39843035,4,(G (x0 & x1)),46.43279046,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:7;vars:2.trace,57.10952806,4,(G (x1 & x0)),50.40641901,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:5;vars:2.trace,63.41066551,5,(G (x0 & (X x1))),31.90004513,5,(x0 U (G (x0 & x1))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/100traces;len:5;vars:2.trace,67.01381516,5,(x0 -> ((X x0) -> (G x0))),32.35136396,5,((x0 U (! (X x0))) -> (! (X x0))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:9;vars:2.trace,69.17397571,4,((x0 . x0) |-> x1),34.89302394,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:9;vars:2.trace,75.11390758,4,(G (x1 & x0)),72.00825623,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/25traces;len:11;vars:3.trace,78.62491488,5,((x0 . x0) |-> ((x0 . x0) |-> x1)),48.44203361,6,((x2 -> x1) U (! x0)),17
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/100traces;len:7;vars:3.trace,84.94864273,4,((x0 . x0) |-> x1),52.61148325,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . x1) *) |-> x2)/25traces;len:13;vars:3.trace,86.7583611,5,((x0 U (X x2)) -> (X x2)),32.84489003,5,((x0 U (X x2)) -> (X x2)),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> x1)/50traces;len:9;vars:3.trace,87.53983665,4,((x0 . x0) |-> x1),53.21786399,5,(x0 -> (X (x0 -> x1))),15
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:13;vars:2.trace,89.81599045,5,((x0 -> (G x0)) | (X (x0 -> (G x0)))),33.0358563,5,((x0 U (X (! x0))) -> (X (! x0))),50
allTests/generatedTracesFromPSL/smallTests/13.trace,91.07898188,5,(x1 -> (X (x0 -> x1))),39.43170747,5,(x1 -> (X (x0 -> x1))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:13;vars:1.trace,103.182404,5,((X x0) -> (x0 -> (G x0))),28.56862474,5,((X x0) -> (x0 -> (G x0))),50
allTests/generatedTracesFromPSL/(((x0 . x0) *) |-> (X x0))/25traces;len:15;vars:2.trace,105.9657283,5,((x0 & (X x0)) -> (X (X x0))),36.75166352,5,((x0 & (X x0)) -> (X (X x0))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:7;vars:3.trace,108.2857585,5,(G (x0 & (X x1))),46.94373973,5,(G (x0 & (X x1))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/100traces;len:7;vars:2.trace,108.4929042,5,(X ((G x1) & x0)),42.43149669,5,(X (x0 & (G x1))),50
allTests/generatedTracesFromPSL/((true *) |-> (x0 & (X x1)))/250traces;len:11;vars:3.trace,112.0657203,4,(G (x0 & x1)),93.92751094,4,(G (x0 & x1)),32
allTests/generatedTracesFromPSL/(((x0 . (x1 . x2)) *) |-> x3)/50traces;len:9;vars:5.trace,117.7133701,5,((X x3) -> (F (X (X x3)))),45.90524512,5,((x0 U (G x2)) -> (G x2)),50
